Comments,Flair
7553,None
623,USA
419,Russia
310,Neutral
268,Civilian/ICRC
244,Syria
195,Turkish Armed Forces
189,Free Syrian Army
177,Turkey
172,Syrian Democratic Forces
162,Euphrates Volcano
145,Switzerland
130,Syrian Republican Guard
129,Israel
117,United States of America
111,Operation Inherent Resolve
105,Hizbollah
96,European Union
95,Free Syria
93,People's Protection Units
91,Germany
88,Syrian
78,Canada
74,Anarchist-Communist
74,Anarchist/Internationalist
74,Lebanon
72,uk
68,Socialist
66,UK
65,Syrian Arab Army
49,Islamist
48,Kemalist
37,United Kingdom
36,Peoples' United Revolutionary Movement
35,TAF
35,YPG
33,Iraq
29,Netherlands
28,Hezbollah
25,Marshall Islands
23,Argentina
22,Anti-IS
22,Syrian Resistance
21,Circassian
21,Jaish al-Islam
19,Bethnahrin Women's Defence Forces
19,Australia
17,Syrian Civil Defence
16,Bosnia
16,Greece
16,Ireland
15,Iran
14,ISIS Hunters
14,United States
14,Croatia
13,New Zealand
12,Bahamas
12,Anti-ISIS
11,Armenia
10,South Korea
10,al-Nusra Front
9,Kurdistan Workers Party (PKK)
8,Syrian Social Nationalist Party
8,Bulgaria
8,Gozarto Protection Force
7,Norway
7,Portugal
7,Czech Republic
7,Democratic Union Party (PYD)
6,France
6,Palestine
6,Europe
6,Marxist–Leninist Communist Party (Turkey)
6,Tiger Forces
6,Estonia
6,Saudi Arabia
6,Anarchist
6,Sootoro
6,Assyrian
5,Egypt
5,Finland
5,Arab National Guard
5,Liwa al-Quds
4,Denmark
4,ireland
4,Syriac Military Council
3,Jordan
3,Kurd
3,Popular Front for the Liberation of Palestine
3,Assyria
3,Kurdistan Communities Union
3,Italy
2,Israel Defense Forces
2,San Marino
2,Battle of Victory
2,Senior Admin
2,Nepal
2,Nation Defense Force
2,Socialist
2,Gibraltar
1,Somalia
1,India
1,Kurdistan
1,Vietnam
1,Montenegro
1,Women's Protection Units
1,Yemen
1,Nicaragua
1,Hungary
1,Sweden
1,Al Nusra Front
1,AKP (Turkey)
1,Serbia
