​Comments,Flairs
17137,None
1593,Russia
938,USA
691,Neutral
646,YPG
458,Syria
393,Hizbollah
347,Israel
308,Germany
291,European Union
286,United States of America
266,Civilian/ICRC
261,Switzerland
256,Syrian Arab Army
244,UK
225,Free Syrian Army
206,Syrian Democratic Forces
189,Islamist
178,Turkey
175,Socialist
167,Operation Inherent Resolve
167,Serbia
146,Free Syria
137,Turkish Armed Forces
134,Canada
127,Euphrates Volcano
123,Peoples Protection Units
121,Croatia
112,Lebanon
98,Syrian Republican Guard
95,United Kingdom
95,Good bot
84,Peoples United Revolutionary Movement
80,Anarchist/Internationalist
79,Ireland
77,Iraq
76,Netherlands
68,Australia
66,Kemalist
64,Marshall Islands
59,France
59,Italy
49,Gibraltar
47,Bulgaria
45,TAF
44,Palestine
40,Anti-IS
35,Syrian
34,Iran
32,Hezbollah
32,Syrian Resistance
31,uk
31,Argentina
29,New Zealand
28,Armenia
26,Estonia
24,Anarchist-Communist
24,al-Nusra Front
22,Norway
20,Marxist–Leninist Communist Party (Turkey)
20,Kurdistan Communities Union
20,Anti-ISIS
20,Assyria
20,Portugal
19,Syrian Civil Defence
19,Bosnia
19,Greece
17,Sootoro
17,Bahamas
16,Kurdistan Workers Party (PKK)
16,Liwa al-Quds
15,Nation Defense Force
15,Islamic State
13,United States
13,Syrian Social Nationalist Party
12,Jaish al-Islam
12,Popular Front for the Liberation of Palestine
11,Czech Republic
10,Druze
10,Kurd
10,Anarchist
9,Sweden
9,Democratic Union Party (PYD)
9,Ukraine
8,ISIS Hunters
8,Circassian
7,Finland
7,Egypt
6,Albania
6,Assyrian 
5,Tiger Forces
5,Senior Admin
4,Lebanese Army
4,Kurdistan Workers Party
4,Poland
4,National Defence Force
4,Socialist 
4,Mexico
4,Macedonia
4,Cuba
3,Belarus
3,Nepal
3,Belgium
3,Bethnahrin Womens Defence Forces
3,KCU
3,Saudi Arabia
3,Womens Protection Units
2,Slovenia
2,Democratic Union Party
2,Israel Defense Forces
2,India
2,Syrian Social Nationalist Party 
2,Jewish Internet Defense Force
2,Syriac Military Council 
2,Zimbabwe
2,South Korea
2,Kurdistan
1,Arab National Guard
1,Faroe Islands
1,neutral
1,Nicaragua
1,Anti Assad
1,Europe
1,Montenegro
1,Kurdistan Workers Party (PKK)
1,Republic of Chad
1,Brazil
1,Battle of Victory
1,Syriac Military Council
